row,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Hymn for the Weekend,Coldplay,permanent wave,2015,90,69,49,-6,33,41,258,21,4,81
2,Adventure of a Lifetime,Coldplay,permanent wave,2015,112,92,64,-4,15,53,264,0,4,75
3,Magic,Coldplay,permanent wave,2014,93,48,74,-9,11,35,285,3,4,71
4,Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,33,241,0,4,68
5,Charlie Brown,Coldplay,permanent wave,2011,138,74,43,-7,33,9,285,2,4,67
6,Up&Up,Coldplay,permanent wave,2015,164,72,48,-5,10,25,405,5,6,66
7,Everglow,Coldplay,permanent wave,2015,146,45,53,-9,11,14,283,46,3,66
8,Princess of China,Coldplay,permanent wave,2011,85,69,42,-6,29,24,239,0,3,65
9,Everyday Life,Coldplay,permanent wave,2019,124,45,51,-9,7,24,259,78,3,65
10,A Head Full of Dreams,Coldplay,permanent wave,2015,123,92,45,-5,33,8,224,0,7,64
11,Always in My Head,Coldplay,permanent wave,2014,98,50,50,-9,7,4,217,1,3,63
12,Orphans,Coldplay,permanent wave,2019,108,81,50,-5,56,28,198,3,5,62
13,Midnight,Coldplay,permanent wave,2014,127,48,55,-12,9,3,295,62,4,61
14,Birds,Coldplay,permanent wave,2015,105,84,56,-6,8,15,229,0,3,61
15,O,Coldplay,permanent wave,2014,137,22,37,-15,9,6,323,91,4,60
16,Miracles (Someone Special),Coldplay,permanent wave,2017,97,82,62,-6,14,37,277,2,4,60
17,Champion Of The World,Coldplay,permanent wave,2019,109,59,50,-7,11,17,258,0,3,59
18,Arabesque,Coldplay,permanent wave,2019,172,83,40,-8,37,16,340,0,6,59
19,Daddy,Coldplay,permanent wave,2019,117,18,63,-20,51,20,298,93,3,59
20,Ink,Coldplay,permanent wave,2014,112,71,69,-7,12,70,228,6,3,58
21,Amazing Day,Coldplay,permanent wave,2015,97,64,45,-6,14,29,271,2,3,57
22,Trouble In Town,Coldplay,permanent wave,2019,96,32,60,-11,11,34,279,43,3,57
23,Sunrise,Coldplay,permanent wave,2019,78,22,15,-12,8,3,151,94,4,57
24,All I Can Think About Is You,Coldplay,permanent wave,2017,73,71,35,-6,7,42,275,16,3,56
25,Old Friends,Coldplay,permanent wave,2019,134,18,48,-17,14,24,147,94,3,56
26,Us Against the World,Coldplay,permanent wave,2011,112,30,51,-11,7,20,240,85,3,55
27,True Love,Coldplay,permanent wave,2014,120,57,48,-8,12,18,246,0,3,55
28,Fun (feat. Tove Lo),Coldplay,permanent wave,2015,134,74,49,-5,9,22,268,27,4,55
29,When I Need A Friend,Coldplay,permanent wave,2019,65,28,14,-18,14,43,155,92,6,55
30,Hurts Like Heaven,Coldplay,permanent wave,2011,90,77,42,-6,27,27,242,1,3,54
31,Army of One,Coldplay,permanent wave,2015,146,66,39,-6,9,29,377,28,4,53
32,Another's Arms,Coldplay,permanent wave,2014,160,57,52,-9,14,35,234,1,3,52
33,Cry Cry Cry,Coldplay,permanent wave,2019,205,26,49,-10,21,34,167,89,6,51
34,Church,Coldplay,permanent wave,2019,124,74,45,-7,15,13,230,1,4,51
35,Oceans,Coldplay,permanent wave,2014,75,13,19,-16,16,4,322,92,3,50
36,Mylo Xyloto,Coldplay,permanent wave,2011,101,39,15,-13,23,22,42,44,4,48
37,Kaleidoscope,Coldplay,permanent wave,2015,127,28,29,-18,41,15,112,96,4,48
38,BrokEn,Coldplay,permanent wave,2019,130,27,55,-12,15,52,150,92,5,48
39,Don't Let It Break Your Heart,Coldplay,permanent wave,2011,140,75,41,-8,17,15,234,0,5,47
40,Up in Flames,Coldplay,permanent wave,2011,76,24,64,-11,10,34,193,24,3,47
41,Colour Spectrum,Coldplay,permanent wave,2015,124,17,35,-20,14,3,60,85,4,47
42,Hypnotised,Coldplay,permanent wave,2017,120,68,51,-6,9,15,355,34,3,47
43,Major Minus,Coldplay,permanent wave,2011,115,67,45,-5,61,40,210,0,3,46
44,بنی آدم,Coldplay,permanent wave,2019,140,30,39,-20,16,4,195,76,5,46
45,Èkó,Coldplay,permanent wave,2019,183,37,34,-14,18,5,158,72,3,46
46,Up with the Birds,Coldplay,permanent wave,2011,120,48,37,-8,36,11,226,71,4,45
47,U.F.O.,Coldplay,permanent wave,2011,84,40,22,-12,34,21,138,73,4,45
48,WOTW / POTP,Coldplay,permanent wave,2019,134,29,69,-15,12,80,77,94,25,45
49,Guns,Coldplay,permanent wave,2019,85,56,48,-8,14,71,115,78,3,44
50,A Hopeful Transmission,Coldplay,permanent wave,2011,117,26,44,-20,82,57,33,10,4,43
51,M.M.I.X.,Coldplay,permanent wave,2011,127,6,17,-29,10,15,48,94,5,43

